 player_id, player, team, position,min,max,ADP,count
14057,"Lock, Drew",DEN,QB,183,183,183,1
15263,"Mitchell, Elijah",SFO,RB,184,184,184,1
11695,"Ebron, Eric",PIT,TE,185,185,185,1
11247,"Ertz, Zach",PHI,TE,186,186,186,1
530,"49ers, San Francisco",SFO,Def,187,187,187,1
507,"Browns, Cleveland",CLE,Def,188,188,188,1
13722,"Jarwin, Blake",DAL,TE,189,189,189,1
503,"Dolphins, Miami",MIA,Def,190,190,190,1
9474,"Cook, Jared",LAC,TE,192,192,192,1
531,"Ravens, Baltimore",BAL,Def,193,193,193,1
11390,"Murray, Latavius",NOS,RB,194,194,194,1
14122,"Slayton, Darius",NYG,WR,195,195,195,1
10276,"Ingram, Mark",HOU,RB,196,196,196,1
14223,"Mattison, Alexander",MIN,RB,197,197,197,1
13354,"Butker, Harrison",KCC,PK,198,198,198,1
13919,"Firkser, Anthony",TEN,TE,200,200,200,1
14113,"Hardman, Mecole",KCC,WR,201,201,201,1
13814,"Scott, Boston",PHI,RB,202,202,202,1
13234,"Mack, Marlon",IND,RB,203,203,203,1
512,"Chiefs, Kansas City",KCC,Def,204,204,204,1
12150,"Gurley, Todd",FA*,RB,206,206,206,1
12476,"Heinicke, Taylor",WAS,QB,207,207,207,1
13188,"Howard, O.J.",TBB,TE,208,208,208,1
13809,"Gage, Russell",ATL,WR,209,209,209,1
14870,"Trautman, Adam",NOS,TE,210,210,210,1
11670,"Watkins, Sammy",BAL,WR,211,211,211,1
13236,"Everett, Gerald",SEA,TE,212,212,212,1
10368,"Jones, Taiwan",BUF,RB,213,213,213,1
9918,"Sanders, Emmanuel",BUF,WR,214,214,214,1
13424,"Hill, Taysom",NOS,QB,215,215,215,1
9988,"Brown, Antonio",TBB,WR,216,216,216,1
529,"Saints, New Orleans",NOS,Def,217,217,217,1
13290,"Cohen, Tarik",CHI,RB,219,219,219,1
11760,"Garoppolo, Jimmy",SFO,QB,220,220,220,1
14143,"Knox, Dawson",BUF,TE,221,221,221,1
13753,"Akins, Jordan",HOU,TE,222,222,222,1
13240,"Hill, Brian",TEN,RB,223,223,223,1
13633,"Kirk, Christian",ARI,WR,224,224,224,1
15270,"Felton, Demetric",CLE,RB,225,225,225,1
13868,"Boone, Mike",DEN,RB,226,226,226,1
13832,"Sanders, Jason",MIA,PK,227,227,227,1
12658,"Shepard, Sterling",NYG,WR,229,229,229,1
10487,"Forbath, Kai",FA,PK,230,230,230,1
13608,"Penny, Rashaad",SEA,RB,231,231,231,1
14782,"Love, Jordan",GBP,QB,232,232,232,1
11640,"Bridgewater, Teddy",DEN,QB,233,233,233,1
