,dynasty_league_id,league_name,url
0,10292,zzz #FCEliminator 2022 BOSCH NO LIMITS,http://www49.myfantasyleague.com/2022/home/10292
1,10761,zzz #FCEliminator 2022 DYNASTY HOT SAUCE,http://www49.myfantasyleague.com/2022/home/10761
2,10859,zzz #FCEliminator 2022 KEVIN TOMPKINS 2,http://www49.myfantasyleague.com/2022/home/10859
3,11064,zzz #FCEliminator 2022 JJ ZACHARIASON 3,http://www49.myfantasyleague.com/2022/home/11064
4,11445,zzz #FCEliminator 2022 ADAM MURFET 2,http://www49.myfantasyleague.com/2022/home/11445
5,11575,zzz #FCEliminator 2022 HEATH CUMMINGS 3,http://www49.myfantasyleague.com/2022/home/11575
6,11657,zzz #FCEliminator 2022 JUSTIN BOONE 2,http://www49.myfantasyleague.com/2022/home/11657
7,12169,zzz #FCEliminator 2022 MIKE WRIGHT 1,http://www49.myfantasyleague.com/2022/home/12169
8,12203,zzz #FCEliminator 2022 RICH DOTSON,http://www49.myfantasyleague.com/2022/home/12203
9,12337,zzz #FCEliminator 2022 DYNASTY DUMMIES POD,http://www49.myfantasyleague.com/2022/home/12337
10,12748,zzz #FCEliminator 2022 MIKE BEERS,http://www49.myfantasyleague.com/2022/home/12748
11,12908,zzz #FCEliminator 2022 MICHELLE MAGDZIUK,http://www49.myfantasyleague.com/2022/home/12908
12,14790,zzz #FCEliminator 2022 JAMES BRIMACOMBE,http://www49.myfantasyleague.com/2022/home/14790
13,15323,zzz #FCEliminator NON scoring site DYNASTYTRADESHQ,http://www48.myfantasyleague.com/2022/home/15323
14,15389,zzz #FCEliminator 2022 ADAM MURFET,http://www49.myfantasyleague.com/2022/home/15389
15,15682,zzz #FCEliminator 2022 RYAN MCDOWELL 1	,http://www49.myfantasyleague.com/2022/home/15682
16,15701,zzz #FCEliminator 2022 JIM COVENTRY,http://www49.myfantasyleague.com/2022/home/15701
17,15736,zzz #FCEliminator 2022 MATT HARMON 2,http://www49.myfantasyleague.com/2022/home/15736
