,team_name,abbreviation,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
11,Portland Trail Blazers,POR,1610612757,2023,00,Shaedon Sharpe,Shaedon,shaedon-sharpe,17,G,6-5,200,"MAY 30, 2003",20.0,1,Kentucky,1631101,#7 Pick in 2022 Draft
12,Portland Trail Blazers,POR,1610612757,2023,00,John Butler Jr.,John,john-butler-jr,21,F,7-0,190,"DEC 04, 2002",20.0,1,Florida State,1631219,Signed on 10/20/22
13,Portland Trail Blazers,POR,1610612757,2023,00,Justise Winslow,Justise,justise-winslow,26,F-G,6-6,222,"MAR 26, 1996",27.0,8,Duke,1626159,Traded from LAC on 02/04/22
14,Portland Trail Blazers,POR,1610612757,2023,00,Jusuf Nurkic,Jusuf,jusuf-nurkic,27,C,7-0,290,"AUG 23, 1994",28.0,9,Cedevita,203994,Traded from DEN on 02/13/17
15,Portland Trail Blazers,POR,1610612757,2023,00,Jabari Walker,Jabari,jabari-walker,34,F,6-7,200,"JUL 30, 2002",21.0,1,Colorado,1631133,#57 Pick in 2022 Draft
16,Portland Trail Blazers,POR,1610612757,2023,00,Ibou Badji,Ibou,ibou-badji,41,C,7-1,240,"OCT 13, 2002",20.0,R,FC Barcelona,1630641,Signed on 11/18/22
0,Sacramento Kings,SAC,1610612758,2023,00,Jalen Slawson,Jalen,jalen-slawson,,F,6-7,215,"OCT 22, 1999",23.0,R,Furman,1641771,#54 Pick in 2023 Draft
1,Sacramento Kings,SAC,1610612758,2023,00,Colby Jones,Colby,colby-jones,,G,6-6,207,"MAY 28, 2002",21.0,R,Xavier,1641732,Signed on 07/02/23
2,Sacramento Kings,SAC,1610612758,2023,00,Aleksandar Vezenkov,Aleksandar,aleksandar-vezenkov,,F,6-9,225,"AUG 06, 1995",28.0,R,"Barcelona, Spain",1628426,Draft Rights Traded from CLE on 06/23/22
3,Sacramento Kings,SAC,1610612758,2023,00,Malik Monk,Malik,malik-monk,0,G,6-3,200,"FEB 04, 1998",25.0,6,Kentucky,1628370,Signed on 07/06/22
4,Sacramento Kings,SAC,1610612758,2023,00,Nerlens Noel,Nerlens,nerlens-noel,0,C-F,6-10,220,"APR 10, 1994",29.0,9,Kentucky,203457,Signed on 07/21/23
5,Sacramento Kings,SAC,1610612758,2023,00,Chris Duarte,Chris,chris-duarte,3,G,6-5,190,"JUN 13, 1997",26.0,2,Oregon,1630537,Traded from IND on 07/06/23
6,Sacramento Kings,SAC,1610612758,2023,00,De'Aaron Fox,De'Aaron,deaaron-fox,5,G,6-3,185,"DEC 20, 1997",25.0,6,Kentucky,1628368,#5 Pick in 2017 Draft
7,Sacramento Kings,SAC,1610612758,2023,00,Kevin Huerter,Kevin,kevin-huerter,9,G-F,6-7,198,"AUG 27, 1998",24.0,5,Maryland,1628989,Traded from ATL on 07/06/22
8,Sacramento Kings,SAC,1610612758,2023,00,Domantas Sabonis,Domantas,domantas-sabonis,10,F-C,7-1,240,"MAY 03, 1996",27.0,7,Gonzaga,1627734,Traded from IND on 02/08/22
9,Sacramento Kings,SAC,1610612758,2023,00,Keegan Murray,Keegan,keegan-murray,13,F,6-8,225,"AUG 19, 2000",23.0,1,Iowa,1631099,#4 Pick in 2022 Draft
10,Sacramento Kings,SAC,1610612758,2023,00,Davion Mitchell,Davion,davion-mitchell,15,G,6-0,202,"SEP 05, 1998",24.0,2,Baylor,1630558,#9 Pick in 2021 Draft
11,Sacramento Kings,SAC,1610612758,2023,00,Kessler Edwards,Kessler,kessler-edwards,17,F,6-7,203,"AUG 09, 2000",23.0,2,Pepperdine,1630556,Traded from BKN on 02/07/23
12,Sacramento Kings,SAC,1610612758,2023,00,Keon Ellis,Keon,keon-ellis,23,G,6-3,175,"JAN 08, 2000",23.0,1,Alabama,1631165,Signed on 07/02/22
13,Sacramento Kings,SAC,1610612758,2023,00,Alex Len,Alex,alex-len,25,C,7-2,250,"JUN 16, 1993",30.0,10,Maryland,203458,Signed on 08/13/21
14,Sacramento Kings,SAC,1610612758,2023,00,Harrison Barnes,Harrison,harrison-barnes,40,F,6-8,225,"MAY 30, 1992",31.0,11,North Carolina,203084,Traded from DAL on 02/07/19
15,Sacramento Kings,SAC,1610612758,2023,00,Trey Lyles,Trey,trey-lyles,41,F,6-9,234,"NOV 05, 1995",27.0,8,Kentucky,1626168,Traded from DET on 02/10/22
16,Sacramento Kings,SAC,1610612758,2023,00,Neemias Queta,Neemias,neemias-queta,88,C,7-0,248,"JUL 13, 1999",24.0,2,Utah State,1629674,#39 Pick in 2021 Draft
0,San Antonio Spurs,SAS,1610612759,2023,00,Sir'Jabari Rice,Sir'Jabari,sirjabari-rice,,G,6-4,180,"DEC 28, 1998",24.0,R,Texas,1641811,Signed on 07/05/23
1,San Antonio Spurs,SAS,1610612759,2023,00,Sidy Cissoko,Sidy,sidy-cissoko,,G,6-8,200,"APR 02, 2004",19.0,R,NBA G League Ignite,1631321,#44 Pick in 2023 Draft
2,San Antonio Spurs,SAS,1610612759,2023,00,Victor Wembanyama,Victor,victor-wembanyama,,F-C,7-4,210,"JAN 04, 2004",19.0,R,Metropolitans 92,1641705,#1 Pick in 2023 Draft
3,San Antonio Spurs,SAS,1610612759,2023,00,Keldon Johnson,Keldon,keldon-johnson,3,F-G,6-5,220,"OCT 11, 1999",23.0,4,Kentucky,1629640,#29 Pick in 2019 Draft
4,San Antonio Spurs,SAS,1610612759,2023,00,Devonte' Graham,Devonte',devonte-graham,4,G,6-1,195,"FEB 22, 1995",28.0,5,Kansas,1628984,Traded from NOP on 02/09/23
5,San Antonio Spurs,SAS,1610612759,2023,00,Jeremy Sochan,Jeremy,jeremy-sochan,10,F,6-8,230,"MAY 20, 2003",20.0,1,Baylor,1631110,#9 Pick in 2022 Draft
6,San Antonio Spurs,SAS,1610612759,2023,00,Blake Wesley,Blake,blake-wesley,14,G,6-4,185,"MAR 16, 2003",20.0,1,Notre Dame,1631104,#25 Pick in 2022 Draft
7,San Antonio Spurs,SAS,1610612759,2023,00,Cameron Payne,Cameron,cameron-payne,15,G,6-1,183,"AUG 08, 1994",29.0,8,Murray State,1626166,Traded from PHX on 07/17/23
8,San Antonio Spurs,SAS,1610612759,2023,00,Cedi Osman,Cedi,cedi-osman,16,F,6-7,230,"APR 08, 1995",28.0,6,Anadolu Efes,1626224,Traded from CLE on 07/06/23
9,San Antonio Spurs,SAS,1610612759,2023,00,Doug McDermott,Doug,doug-mcdermott,17,F,6-6,225,"JAN 03, 1992",31.0,9,Creighton,203926,Traded from IND on 08/07/21
10,San Antonio Spurs,SAS,1610612759,2023,00,Malaki Branham,Malaki,malaki-branham,22,F,6-4,180,"MAY 12, 2003",20.0,1,Ohio State,1631103,#20 Pick in 2022 Draft
11,San Antonio Spurs,SAS,1610612759,2023,00,Zach Collins,Zach,zach-collins,23,F-C,6-11,250,"NOV 19, 1997",25.0,5,Gonzaga,1628380,Signed on 08/11/21
12,San Antonio Spurs,SAS,1610612759,2023,00,Khem Birch,Khem,khem-birch,24,C,6-8,233,"SEP 28, 1992",30.0,6,UNLV,203920,Traded from TOR on 02/09/23
13,San Antonio Spurs,SAS,1610612759,2023,00,Devin Vassell,Devin,devin-vassell,24,G-F,6-5,200,"AUG 23, 2000",22.0,3,Florida State,1630170,#11 Pick in 2020 Draft
14,San Antonio Spurs,SAS,1610612759,2023,00,Reggie Bullock,Reggie,reggie-bullock,25,G-F,6-6,205,"MAR 16, 1991",32.0,10,North Carolina,203493,Traded from DAL on 07/12/23
15,San Antonio Spurs,SAS,1610612759,2023,00,Dominick Barlow,Dominick,dominick-barlow,26,F,6-9,215,"MAY 26, 2003",20.0,1,                                   ,1631230,Signed on 07/10/22
16,San Antonio Spurs,SAS,1610612759,2023,00,Charles Bassey,Charles,charles-bassey,28,C-F,6-9,230,"OCT 28, 2000",22.0,2,Western Kentucky,1629646,Signed on 10/24/22
17,San Antonio Spurs,SAS,1610612759,2023,00,Julian Champagnie,Julian,julian-champagnie,30,F,6-7,217,"JUN 29, 2001",22.0,1,St. John's,1630577,
18,San Antonio Spurs,SAS,1610612759,2023,00,Tre Jones,Tre,tre-jones,33,G,6-1,185,"JAN 08, 2000",23.0,3,Duke,1630200,#41 Pick in 2020 Draft
19,San Antonio Spurs,SAS,1610612759,2023,00,Sandro Mamukelashvili,Sandro,sandro-mamukelashvili,54,F-C,6-10,240,"MAY 23, 1999",24.0,2,Seton Hall,1630572,
0,Oklahoma City Thunder,OKC,1610612760,2023,00,Vasilije Micic,Vasilije,vasilije-micic,,G,6-4,188,"JAN 13, 1994",29.0,R,Serbia,203995,Draft Rights Traded from PHI on 12/08/20
1,Oklahoma City Thunder,OKC,1610612760,2023,00,Davis Bertans,Davis,davis-bertans,,F,6-10,225,"NOV 12, 1992",30.0,7,Baskonia,202722,Traded from DAL on 07/06/23
2,Oklahoma City Thunder,OKC,1610612760,2023,00,Victor Oladipo,Victor,victor-oladipo,,G,6-3,213,"MAY 04, 1992",31.0,10,Indiana,203506,Traded from MIA on 07/06/23
3,Oklahoma City Thunder,OKC,1610612760,2023,00,Shai Gilgeous-Alexander,Shai,shai-gilgeous-alexander,2,G,6-6,195,"JUL 12, 1998",25.0,5,Kentucky,1628983,Traded from LAC on 07/10/19
4,Oklahoma City Thunder,OKC,1610612760,2023,00,Josh Giddey,Josh,josh-giddey,3,G,6-8,216,"OCT 10, 2002",20.0,2,NBA Global Academy,1630581,#6 Pick in 2021 Draft
5,Oklahoma City Thunder,OKC,1610612760,2023,00,Luguentz Dort,Luguentz,luguentz-dort,5,G,6-4,220,"APR 19, 1999",24.0,4,Arizona State,1629652,Signed on 07/06/19
6,Oklahoma City Thunder,OKC,1610612760,2023,00,Jaylin Williams,Jaylin,jaylin-williams,6,F,6-9,240,"JUN 29, 2002",21.0,1,Arkansas,1631119,#34 Pick in 2022 Draft
7,Oklahoma City Thunder,OKC,1610612760,2023,00,Chet Holmgren,Chet,chet-holmgren,7,C-F,7-1,195,"MAY 01, 2002",21.0,R,Gonzaga,1631096,#2 Pick in 2022 Draft
8,Oklahoma City Thunder,OKC,1610612760,2023,00,Jalen Williams,Jalen,jalen-williams,8,G-F,6-5,211,"APR 14, 2001",22.0,1,Santa Clara,1631114,#12 Pick in 2022 Draft
9,Oklahoma City Thunder,OKC,1610612760,2023,00,Jack White,Jack,jack-white,10,F,6-7,225,"AUG 05, 1997",26.0,1,Duke,1631298,Signed on 07/20/23
10,Oklahoma City Thunder,OKC,1610612760,2023,00,Isaiah Joe,Isaiah,isaiah-joe,11,G,6-3,165,"JUL 02, 1999",24.0,3,Arkansas,1630198,Signed on 10/16/22
11,Oklahoma City Thunder,OKC,1610612760,2023,00,Lindy Waters III,Lindy,lindy-waters-iii,12,F,6-6,210,"JUL 28, 1997",26.0,2,Oklahoma State,1630322,Signed on 02/10/22
12,Oklahoma City Thunder,OKC,1610612760,2023,00,Ousmane Dieng,Ousmane,ousmane-dieng,13,F,6-9,185,"MAY 21, 2003",20.0,1,New Zealand Breakers,1631172,Draft Rights Traded from NYK on 06/23/22
13,Oklahoma City Thunder,OKC,1610612760,2023,00,Aleksej Pokusevski,Aleksej,aleksej-pokusevski,17,F,7-0,210,"DEC 26, 2001",21.0,3,Olympiacos,1630197,Draft Rights Traded from MIN on 11/20/20
14,Oklahoma City Thunder,OKC,1610612760,2023,00,Keyontae Johnson,Keyontae,keyontae-johnson,18,F,6-6,230,"MAY 24, 2000",23.0,R,Kansas State,1641749,#50 Pick in 2023 Draft
15,Oklahoma City Thunder,OKC,1610612760,2023,00,Aaron Wiggins,Aaron,aaron-wiggins,21,G,6-5,190,"JAN 02, 1999",24.0,2,Maryland,1630598,#55 Pick in 2021 Draft
16,Oklahoma City Thunder,OKC,1610612760,2023,00,Cason Wallace,Cason,cason-wallace,22,G,6-4,195,"NOV 07, 2003",19.0,R,Kentucky,1641717,Draft Rights Traded from DAL on 07/06/23
17,Oklahoma City Thunder,OKC,1610612760,2023,00,Tre Mann,Tre,tre-mann,23,G,6-3,178,"FEB 03, 2001",22.0,2,Florida,1630544,#18 Pick in 2021 Draft
18,Oklahoma City Thunder,OKC,1610612760,2023,00,Olivier Sarr,Olivier,olivier-sarr,30,C,6-11,240,"FEB 20, 1999",24.0,2,Kentucky,1630846,Signed on 02/11/23
19,Oklahoma City Thunder,OKC,1610612760,2023,00,Kenrich Williams,Kenrich,kenrich-williams,34,G-F,6-6,210,"DEC 02, 1994",28.0,5,TCU,1629026,Traded from NOP on 11/23/20
20,Oklahoma City Thunder,OKC,1610612760,2023,00,Jeremiah Robinson-Earl,Jeremiah,jeremiah-robinson-earl,50,F,6-8,240,"NOV 03, 2000",22.0,2,Villanova,1630526,Draft Rights Traded from NYK on 07/30/21
0,Toronto Raptors,TOR,1610612761,2023,00,Javon Freeman-Liberty,Javon,javon-freeman-liberty,0,G,6-4,180,"OCT 20, 1999",23.0,R,DePaul,1631241,Signed on 07/22/23
1,Toronto Raptors,TOR,1610612761,2023,00,Gradey Dick,Gradey,gradey-dick,1,G,6-8,205,"NOV 20, 2003",19.0,R,Kansas,1641711,#13 Pick in 2023 Draft
2,Toronto Raptors,TOR,1610612761,2023,00,Jalen McDaniels,Jalen,jalen-mcdaniels,2,F-C,6-9,205,"JAN 31, 1998",25.0,4,San Diego State,1629667,Signed on 07/06/23
3,Toronto Raptors,TOR,1610612761,2023,00,O.G. Anunoby,O.G.,og-anunoby,3,F,6-7,232,"JUL 17, 1997",26.0,6,Indiana,1628384,#23 Pick in 2017 Draft
4,Toronto Raptors,TOR,1610612761,2023,00,Scottie Barnes,Scottie,scottie-barnes,4,F,6-8,225,"AUG 01, 2001",22.0,2,Florida State,1630567,#4 Pick in 2021 Draft
5,Toronto Raptors,TOR,1610612761,2023,00,Precious Achiuwa,Precious,precious-achiuwa,5,F,6-8,225,"SEP 19, 1999",23.0,3,Memphis,1630173,Traded from MIA on 08/06/21
6,Toronto Raptors,TOR,1610612761,2023,00,Ron Harper Jr.,Ron,ron-harper-jr,8,F,6-5,245,"APR 12, 2000",23.0,1,Rutgers,1631199,Signed on 07/13/22
7,Toronto Raptors,TOR,1610612761,2023,00,Kevin Obanor,Kevin,kevin-obanor,13,,6-8,235,"JUN 12, 1999",24.0,R,                                   ,1641893,Signed on 07/31/23
8,Toronto Raptors,TOR,1610612761,2023,00,Garrett Temple,Garrett,garrett-temple,14,G-F,6-6,195,"MAY 08, 1986",37.0,13,Louisiana State,202066,Signed on 07/31/23
9,Toronto Raptors,TOR,1610612761,2023,00,Mouhamadou Gueye,Mouhamadou,mouhamadou-gueye,15,F,6-9,210,"JUL 06, 1998",25.0,R,Pittsburgh,1631338,Signed on 07/31/23
10,Toronto Raptors,TOR,1610612761,2023,00,Dennis Schroder,Dennis,dennis-schroder,17,G,6-1,172,"SEP 15, 1993",29.0,10,Braunschweig,203471,Signed on 07/12/23
11,Toronto Raptors,TOR,1610612761,2023,00,Jakob Poeltl,Jakob,jakob-poeltl,19,C,7-1,245,"OCT 15, 1995",27.0,7,Utah,1627751,Traded from SAS on 02/09/23
12,Toronto Raptors,TOR,1610612761,2023,00,Jeff Dowtin Jr.,Jeff,jeff-dowtin-jr,20,G,6-3,177,"MAY 10, 1997",26.0,2,Rhode Island,1630288,Signed on 07/19/22
13,Toronto Raptors,TOR,1610612761,2023,00,Thaddeus Young,Thaddeus,thaddeus-young,21,F,6-8,235,"JUN 21, 1988",35.0,16,Georgia Tech,201152,Traded from SAS on 02/10/22
14,Toronto Raptors,TOR,1610612761,2023,00,Malachi Flynn,Malachi,malachi-flynn,22,G,6-1,175,"MAY 09, 1998",25.0,3,San Diego State,1630201,#29 Pick in 2020 Draft
15,Toronto Raptors,TOR,1610612761,2023,00,Markquis Nowell,Markquis,markquis-nowell,24,G,5-8,160,"DEC 25, 1999",23.0,R,Kansas State,1641806,Signed on 07/03/23
16,Toronto Raptors,TOR,1610612761,2023,00,Chris Boucher,Chris,chris-boucher,25,F-C,6-9,200,"JAN 11, 1993",30.0,6,Oregon,1628449,Signed on 07/20/18
17,Toronto Raptors,TOR,1610612761,2023,00,Otto Porter Jr.,Otto,otto-porter-jr,32,F,6-8,198,"JUN 03, 1993",30.0,10,Georgetown,203490,Signed on 07/06/22
18,Toronto Raptors,TOR,1610612761,2023,00,Gary Trent Jr.,Gary,gary-trent-jr,33,G-F,6-5,209,"JAN 18, 1999",24.0,5,Duke,1629018,Traded from POR on 03/25/21
19,Toronto Raptors,TOR,1610612761,2023,00,Christian Koloko,Christian,christian-koloko,35,C,7-0,230,"JUN 20, 2000",23.0,1,Arizona,1631132,#33 Pick in 2022 Draft
20,Toronto Raptors,TOR,1610612761,2023,00,Pascal Siakam,Pascal,pascal-siakam,43,F,6-8,230,"APR 02, 1994",29.0,7,New Mexico State,1627783,#27 Pick in 2016 Draft
0,Utah Jazz,UTA,1610612762,2023,00,Taylor Hendricks,Taylor,taylor-hendricks,,F,6-10,215,"NOV 22, 2003",19.0,R,Central Florida,1641707,#9 Pick in 2023 Draft
1,Utah Jazz,UTA,1610612762,2023,00,Keyonte George,Keyonte,keyonte-george,,G,6-4,185,"NOV 08, 2003",19.0,R,Baylor,1641718,#16 Pick in 2023 Draft
2,Utah Jazz,UTA,1610612762,2023,00,Brice Sensabaugh,Brice,brice-sensabaugh,,F,6-6,235,"OCT 30, 2003",19.0,R,Ohio State,1641729,#28 Pick in 2023 Draft
3,Utah Jazz,UTA,1610612762,2023,00,Joey Hauser,Joey,joey-hauser,,F,6-9,230,"JUL 17, 1999",24.0,R,Michigan State,1641792,Signed on 07/03/23
4,Utah Jazz,UTA,1610612762,2023,00,Jordan Clarkson,Jordan,jordan-clarkson,00,G,6-5,194,"JUN 07, 1992",31.0,9,Missouri,203903,Traded from CLE on 12/23/19
5,Utah Jazz,UTA,1610612762,2023,00,Talen Horton-Tucker,Talen,talen-horton-tucker,0,G,6-4,234,"NOV 25, 2000",22.0,4,Iowa State,1629659,Traded from LAL on 08/25/22
6,Utah Jazz,UTA,1610612762,2023,00,Collin Sexton,Collin,collin-sexton,2,G,6-2,190,"JAN 04, 1999",24.0,5,Alabama,1629012,Traded from CLE on 09/03/22
7,Utah Jazz,UTA,1610612762,2023,00,Kris Dunn,Kris,kris-dunn,11,G,6-3,205,"MAR 18, 1994",29.0,7,Providence,1627739,Signed on 02/22/23
8,Utah Jazz,UTA,1610612762,2023,00,Simone Fontecchio,Simone,simone-fontecchio,16,F,6-7,209,"DEC 09, 1995",27.0,1,Baskonia,1631323,Signed on 07/27/22
9,Utah Jazz,UTA,1610612762,2023,00,Luka Samanic,Luka,luka-samanic,19,F,6-10,227,"JAN 09, 2000",23.0,3,Union Olimpija,1629677,Signed on 03/28/23
10,Utah Jazz,UTA,1610612762,2023,00,John Collins,John,john-collins,20,F-C,6-9,226,"SEP 23, 1997",25.0,6,Wake Forest,1628381,Traded from ATL on 07/07/23
11,Utah Jazz,UTA,1610612762,2023,00,Lauri Markkanen,Lauri,lauri-markkanen,23,F-C,7-0,240,"MAY 22, 1997",26.0,6,Arizona,1628374,Traded from CLE on 09/03/22
12,Utah Jazz,UTA,1610612762,2023,00,Walker Kessler,Walker,walker-kessler,24,C,7-0,245,"JUL 26, 2001",22.0,1,Auburn,1631117,Draft Rights Traded from MIN on 07/06/22
13,Utah Jazz,UTA,1610612762,2023,00,Micah Potter,Micah,micah-potter,25,C,6-8,248,"APR 06, 1998",25.0,2,Wisconsin,1630695,Signed on 10/12/22
14,Utah Jazz,UTA,1610612762,2023,00,Ochai Agbaji,Ochai,ochai-agbaji,30,G,6-5,215,"APR 20, 2000",23.0,1,Kansas,1630534,Traded from CLE on 09/03/22
15,Utah Jazz,UTA,1610612762,2023,00,Johnny Juzang,Johnny,johnny-juzang,33,G,6-6,209,"MAR 17, 2001",22.0,1,UCLA,1630548,Signed on 07/15/22
16,Utah Jazz,UTA,1610612762,2023,00,Kelly Olynyk,Kelly,kelly-olynyk,41,F-C,6-11,240,"APR 19, 1991",32.0,10,Gonzaga,203482,Traded from DET on 09/22/22
17,Utah Jazz,UTA,1610612762,2023,00,Omer Yurtseven,Omer,omer-yurtseven,77,C,6-11,275,"JUN 19, 1998",25.0,2,Georgetown,1630209,Signed on 07/17/23
0,Memphis Grizzlies,MEM,1610612763,2023,00,Jacob Gilyard,Jacob,jacob-gilyard,,G,5-9,160,"JUL 14, 1998",25.0,1,Richmond,1631367,Signed on 09/23/22
1,Memphis Grizzlies,MEM,1610612763,2023,00,GG Jackson II,GG,gg-jackson-ii,,F,6-9,210,"DEC 17, 2004",18.0,R,South Carolina,1641713,#45 Pick in 2023 Draft
2,Memphis Grizzlies,MEM,1610612763,2023,00,Tarik Biberovic,Tarik,tarik-biberovic,,F,6-7,218,"JAN 28, 2001",22.0,R,Fenerbahce,1641844,#56 Pick in 2023 Draft
3,Memphis Grizzlies,MEM,1610612763,2023,00,Xavier Tillman,Xavier,xavier-tillman,2,F,6-7,245,"JAN 12, 1999",24.0,3,Michigan State,1630214,Draft Rights Traded from SAC on 11/19/20
4,Memphis Grizzlies,MEM,1610612763,2023,00,Jake LaRavia,Jake,jake-laravia,3,F,6-7,235,"NOV 03, 2001",21.0,1,Wake Forest,1631222,Draft Rights Traded from MIN on 06/24/22
5,Memphis Grizzlies,MEM,1610612763,2023,00,Steven Adams,Steven,steven-adams,4,C,6-11,265,"JUL 20, 1993",30.0,10,Pittsburgh,203500,Traded from NOP on 08/07/21
6,Memphis Grizzlies,MEM,1610612763,2023,00,Derrick Rose,Derrick,derrick-rose,4,G,6-3,200,"OCT 04, 1988",34.0,14,Memphis,201565,Signed on 07/03/23
7,Memphis Grizzlies,MEM,1610612763,2023,00,Vince Williams Jr.,Vince,vince-williams-jr,5,G,6-4,205,"AUG 30, 2000",22.0,1,Virginia Commonwealth,1631246,#47 Pick in 2022 Draft
8,Memphis Grizzlies,MEM,1610612763,2023,00,Kenneth Lofton Jr.,Kenneth,kenneth-lofton-jr,6,F,6-6,275,"AUG 14, 2002",21.0,1,Louisiana Tech,1631254,Signed on 07/01/22
9,Memphis Grizzlies,MEM,1610612763,2023,00,Santi Aldama,Santi,santi-aldama,7,F-C,7-0,215,"JAN 10, 2001",22.0,2,Loyola-Maryland,1630583,Draft Rights Traded from UTA on 08/07/21
10,Memphis Grizzlies,MEM,1610612763,2023,00,Ziaire Williams,Ziaire,ziaire-williams,8,F,6-9,185,"SEP 12, 2001",21.0,2,Stanford,1630533,Draft Rights Traded from NOP on 08/07/21
11,Memphis Grizzlies,MEM,1610612763,2023,00,Josh Christopher,Josh,josh-christopher,9,G,6-4,215,"DEC 08, 2001",21.0,2,Arizona State,1630528,Traded from HOU on 07/08/23
12,Memphis Grizzlies,MEM,1610612763,2023,00,Luke Kennard,Luke,luke-kennard,10,G,6-5,206,"JUN 24, 1996",27.0,6,Duke,1628379,Traded from LAC on 02/09/23
13,Memphis Grizzlies,MEM,1610612763,2023,00,Ja Morant,Ja,ja-morant,12,G,6-2,174,"AUG 10, 1999",24.0,4,Murray State,1629630,#2 Pick in 2019 Draft
14,Memphis Grizzlies,MEM,1610612763,2023,00,Jaren Jackson Jr.,Jaren,jaren-jackson-jr,13,F-C,6-10,242,"SEP 15, 1999",23.0,5,Michigan State,1628991,#4 Pick in 2018 Draft
15,Memphis Grizzlies,MEM,1610612763,2023,00,Isaiah Todd,Isaiah,isaiah-todd,14,F,6-9,219,"OCT 17, 2001",21.0,2,NBA G League Ignite,1630225,Traded from PHX on 07/11/23
16,Memphis Grizzlies,MEM,1610612763,2023,00,Brandon Clarke,Brandon,brandon-clarke,15,F,6-8,215,"SEP 19, 1996",26.0,4,Gonzaga,1629634,Draft Rights Traded from OKC on 07/06/19
17,Memphis Grizzlies,MEM,1610612763,2023,00,Desmond Bane,Desmond,desmond-bane,22,G,6-5,215,"JUN 25, 1998",25.0,3,TCU,1630217,Draft Rights Traded from BOS on 11/20/20
18,Memphis Grizzlies,MEM,1610612763,2023,00,David Roddy,David,david-roddy,27,F,6-4,255,"MAR 27, 2001",22.0,1,Colorado State,1631223,Draft Rights Traded from PHI on 06/24/22
19,Memphis Grizzlies,MEM,1610612763,2023,00,Marcus Smart,Marcus,marcus-smart,36,G,6-4,220,"MAR 06, 1994",29.0,9,Oklahoma State,203935,Traded from BOS on 06/23/23
20,Memphis Grizzlies,MEM,1610612763,2023,00,John Konchar,John,john-konchar,46,G,6-5,210,"MAR 22, 1996",27.0,4,Indiana-Purdue Fort Wayne,1629723,Signed on 07/07/19
0,Washington Wizards,WAS,1610612764,2023,00,Bilal Coulibaly,Bilal,bilal-coulibaly,,G,6-6,195,"JUL 26, 2004",19.0,R,Metropolitans 92,1641731,Draft Rights Traded from IND on 06/23/23
1,Washington Wizards,WAS,1610612764,2023,00,Tristan Vukcevic,Tristan,tristan-vukcevic,,F,6-10,220,"MAR 11, 2003",20.0,R,Real Madrid,1641774,#42 Pick in 2023 Draft
2,Washington Wizards,WAS,1610612764,2023,00,Johnny Davis,Johnny,johnny-davis,1,G,6-4,195,"FEB 27, 2002",21.0,1,Wisconsin,1631098,#10 Pick in 2022 Draft
3,Washington Wizards,WAS,1610612764,2023,00,Tyus Jones,Tyus,tyus-jones,5,G,6-2,196,"MAY 10, 1996",27.0,8,Duke,1626145,Traded from MEM on 06/23/23
4,Washington Wizards,WAS,1610612764,2023,00,Patrick Baldwin,Patrick,patrick-baldwin,7,F,6-9,220,"NOV 18, 2002",20.0,1,Wisconsin-Milwaukee,1631116,Traded from GSW on 07/06/23
5,Washington Wizards,WAS,1610612764,2023,00,Deni Avdija,Deni,deni-avdija,8,F,6-9,210,"JAN 03, 2001",22.0,3,Maccabi Tel Aviv,1630166,#9 Pick in 2020 Draft
6,Washington Wizards,WAS,1610612764,2023,00,Ryan Rollins,Ryan,ryan-rollins,9,G,6-3,180,"JUL 03, 2002",21.0,1,Toledo,1631157,Traded from GSW on 07/06/23
7,Washington Wizards,WAS,1610612764,2023,00,Xavier Cooks,Xavier,xavier-cooks,12,F,6-8,183,"AUG 19, 1995",28.0,1,Winthrop,1641645,Signed on 03/17/23
8,Washington Wizards,WAS,1610612764,2023,00,Jordan Poole,Jordan,jordan-poole,13,G,6-4,194,"JUN 19, 1999",24.0,4,Michigan,1629673,Traded from GSW on 07/06/23
9,Washington Wizards,WAS,1610612764,2023,00,Jared Butler,Jared,jared-butler,14,G,6-3,193,"AUG 25, 2000",22.0,2,Baylor,1630215,Signed on 07/28/23
10,Washington Wizards,WAS,1610612764,2023,00,Anthony Gill,Anthony,anthony-gill,16,F,6-8,230,"OCT 17, 1992",30.0,3,Virginia,1630264,Signed on 11/30/20
11,Washington Wizards,WAS,1610612764,2023,00,Landry Shamet,Landry,landry-shamet,20,G,6-4,190,"MAR 13, 1997",26.0,5,Wichita State,1629013,Traded from PHX on 06/23/23
12,Washington Wizards,WAS,1610612764,2023,00,Kendrick Nunn,Kendrick,kendrick-nunn,20,G,6-3,190,"AUG 03, 1995",28.0,3,Oakland,1629134,Traded from LAL on 01/23/23
13,Washington Wizards,WAS,1610612764,2023,00,Daniel Gafford,Daniel,daniel-gafford,21,F-C,6-10,234,"OCT 01, 1998",24.0,4,Arkansas,1629655,Traded from CHI on 03/25/21
14,Washington Wizards,WAS,1610612764,2023,00,Corey Kispert,Corey,corey-kispert,24,F,6-6,224,"MAR 03, 1999",24.0,2,Gonzaga,1630557,#15 Pick in 2021 Draft
15,Washington Wizards,WAS,1610612764,2023,00,Kyle Kuzma,Kyle,kyle-kuzma,33,F,6-9,221,"JUL 24, 1995",28.0,6,Utah,1628398,Traded from LAL on 08/06/21
